TriggerLatencyTriggerLatency,トリガーの待機時間Trigger Latency,SecondsSeconds,平均Average,完了したワークフロー トリガーの待機時間。Latency of completed workflow triggers.,ディメンションなしNo Dimensions,,,,,,,
TriggerFireLatencyTriggerFireLatency,起動されたトリガーの待機時間Trigger Fire Latency,SecondsSeconds,平均Average,起動されたワークフロー トリガーの待機時間。Latency of fired workflow triggers.,ディメンションなしNo Dimensions,,,,,,,
TriggerSuccessLatencyTriggerSuccessLatency,成功したトリガーの待機時間Trigger Success Latency,SecondsSeconds,平均Average,成功したワークフロー トリガーの待機時間。Latency of succeeded workflow triggers.,ディメンションなしNo Dimensions,,,,,,,
TriggerThrottledEventsTriggerThrottledEvents,トリガー スロットル イベントTrigger Throttled Events,CountCount,合計Total,ワークフロー トリガー スロットル イベントの数。Number of workflow trigger throttled events.,ディメンションなしNo Dimensions,,,,,,,
BillableActionExecutionsBillableActionExecutions,課金対象のアクションの実行Billable Action Executions,CountCount,合計Total,課金されるワークフロー アクションの実行数。Number of workflow action executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
BillableTriggerExecutionsBillableTriggerExecutions,課金対象のトリガーの実行Billable Trigger Executions,CountCount,合計Total,課金されるワークフロー トリガーの実行数。Number of workflow trigger executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
TotalBillableExecutionsTotalBillableExecutions,課金対象の実行の合計数Total Billable Executions,CountCount,合計Total,課金されるワークフローの実行数。Number of workflow executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
BillingUsageNativeOperationBillingUsageNativeOperation,ネイティブ操作実行の利用状況に応じた課金Billing Usage for Native Operation Executions,CountCount,合計Total,請求対象となるネイティブ操作の実行回数。Number of native operation executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
BillingUsageStandardConnectorBillingUsageStandardConnector,Standard コネクタ実行の利用状況に応じた課金Billing Usage for Standard Connector Executions,CountCount,合計Total,請求対象となる Standard コネクタの実行回数。Number of standard connector executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
BillingUsageStorageConsumptionBillingUsageStorageConsumption,ストレージ使用実行の利用状況に応じた課金Billing Usage for Storage Consumption Executions,CountCount,合計Total,請求対象となるストレージ使用の実行回数。Number of storage consumption executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
BillingUsageNativeOperationBillingUsageNativeOperation,ネイティブ操作実行の利用状況に応じた課金Billing Usage for Native Operation Executions,CountCount,合計Total,請求対象となるネイティブ操作の実行回数。Number of native operation executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
BillingUsageStandardConnectorBillingUsageStandardConnector,Standard コネクタ実行の利用状況に応じた課金Billing Usage for Standard Connector Executions,CountCount,合計Total,請求対象となる Standard コネクタの実行回数。Number of standard connector executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
BillingUsageStorageConsumptionBillingUsageStorageConsumption,ストレージ使用実行の利用状況に応じた課金Billing Usage for Storage Consumption Executions,CountCount,合計Total,請求対象となるストレージ使用の実行回数。Number of storage consumption executions getting billed.,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Logic/integrationServiceEnvironmentsMicrosoft.Logic/integrationServiceEnvironments,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
RunsStartedRunsStarted,開始した実行Runs Started,CountCount,合計Total,開始したワークフロー実行の数。Number of workflow runs started.,ディメンションなしNo Dimensions,,,,,,,
RunsCompletedRunsCompleted,完了した実行Runs Completed,CountCount,合計Total,完了したワークフロー実行の数。Number of workflow runs completed.,ディメンションなしNo Dimensions,,,,,,,
RunsSucceededRunsSucceeded,成功した実行Runs Succeeded,CountCount,合計Total,成功したワークフロー実行の数。Number of workflow runs succeeded.,ディメンションなしNo Dimensions,,,,,,,
RunsFailedRunsFailed,失敗した実行Runs Failed,CountCount,合計Total,失敗したワークフロー実行の数。Number of workflow runs failed.,ディメンションなしNo Dimensions,,,,,,,
RunsCancelledRunsCancelled,取り消された実行Runs Canceled,CountCount,合計Total,取り消されたワークフロー実行の数。Number of workflow runs canceled.,ディメンションなしNo Dimensions,,,,,,,
RunLatencyRunLatency,実行の待機時間Run Latency,SecondsSeconds,平均Average,完了したワークフロー実行の待機時間。Latency of completed workflow runs.,ディメンションなしNo Dimensions,,,,,,,
RunSuccessLatencyRunSuccessLatency,成功した実行の待機時間Run Success Latency,SecondsSeconds,平均Average,成功したワークフロー実行の待機時間。Latency of succeeded workflow runs.,ディメンションなしNo Dimensions,,,,,,,
RunThrottledEventsRunThrottledEvents,実行スロットル イベントRun Throttled Events,CountCount,合計Total,ワークフロー アクションまたはトリガー スロットル イベントの数。Number of workflow action or trigger throttled events.,ディメンションなしNo Dimensions,,,,,,,
RunStartThrottledEventsRunStartThrottledEvents,実行開始スロットル イベント数Run Start Throttled Events,CountCount,合計Total,ワークフロー実行開始スロットル イベントの数。Number of workflow run start throttled events.,ディメンションなしNo Dimensions,,,,,,,
RunFailurePercentageRunFailurePercentage,実行エラーの割合Run Failure Percentage,PercentPercent,合計Total,失敗したワークフロー実行の割合。Percentage of workflow runs failed.,ディメンションなしNo Dimensions,,,,,,,
ActionsStartedActionsStarted,開始したアクションActions Started,CountCount,合計Total,開始したワークフロー アクションの数。Number of workflow actions started.,ディメンションなしNo Dimensions,,,,,,,
ActionsCompletedActionsCompleted,完了したアクションActions Completed,CountCount,合計Total,完了したワークフロー アクションの数。Number of workflow actions completed.,ディメンションなしNo Dimensions,,,,,,,
ActionsSucceededActionsSucceeded,成功したアクションActions Succeeded,CountCount,合計Total,成功したワークフロー アクションの数。Number of workflow actions succeeded.,ディメンションなしNo Dimensions,,,,,,,
ActionsFailedActionsFailed,失敗したアクションActions Failed,CountCount,合計Total,失敗したワークフロー アクションの数。Number of workflow actions failed.,ディメンションなしNo Dimensions,,,,,,,
ActionsSkippedActionsSkipped,スキップされたアクションActions Skipped,CountCount,合計Total,スキップされたワークフロー アクションの数。Number of workflow actions skipped.,ディメンションなしNo Dimensions,,,,,,,
ActionLatencyActionLatency,アクションの待機時間Action Latency,SecondsSeconds,平均Average,完了したワークフロー アクションの待機時間。Latency of completed workflow actions.,ディメンションなしNo Dimensions,,,,,,,
ActionSuccessLatencyActionSuccessLatency,成功したアクションの待機時間Action Success Latency,SecondsSeconds,平均Average,成功したワークフロー アクションの待機時間。Latency of succeeded workflow actions.,ディメンションなしNo Dimensions,,,,,,,
ActionThrottledEventsActionThrottledEvents,アクション スロットル イベントAction Throttled Events,CountCount,合計Total,ワークフロー アクション スロットル イベントの数。Number of workflow action throttled events..,ディメンションなしNo Dimensions,,,,,,,
TriggersStartedTriggersStarted,開始したトリガーTriggers Started,CountCount,合計Total,開始したワークフロー トリガーの数。Number of workflow triggers started.,ディメンションなしNo Dimensions,,,,,,,
TriggersCompletedTriggersCompleted,完了したトリガーTriggers Completed,CountCount,合計Total,完了したワークフロー トリガーの数。Number of workflow triggers completed.,ディメンションなしNo Dimensions,,,,,,,
TriggersSucceededTriggersSucceeded,成功したトリガーTriggers Succeeded,CountCount,合計Total,成功したワークフロー トリガーの数。Number of workflow triggers succeeded.,ディメンションなしNo Dimensions,,,,,,,
TriggersFailedTriggersFailed,失敗したトリガーTriggers Failed,CountCount,合計Total,失敗したワークフロー トリガーの数。Number of workflow triggers failed.,ディメンションなしNo Dimensions,,,,,,,
TriggersSkippedTriggersSkipped,スキップされたトリガーTriggers Skipped,CountCount,合計Total,スキップされたワークフロー トリガーの数。Number of workflow triggers skipped.,ディメンションなしNo Dimensions,,,,,,,
TriggersFiredTriggersFired,起動されたトリガーTriggers Fired,CountCount,合計Total,起動されたワークフロー トリガーの数。Number of workflow triggers fired.,ディメンションなしNo Dimensions,,,,,,,
TriggerLatencyTriggerLatency,トリガーの待機時間Trigger Latency,SecondsSeconds,平均Average,完了したワークフロー トリガーの待機時間。Latency of completed workflow triggers.,ディメンションなしNo Dimensions,,,,,,,
TriggerFireLatencyTriggerFireLatency,起動されたトリガーの待機時間Trigger Fire Latency,SecondsSeconds,平均Average,起動されたワークフロー トリガーの待機時間。Latency of fired workflow triggers.,ディメンションなしNo Dimensions,,,,,,,
TriggerSuccessLatencyTriggerSuccessLatency,成功したトリガーの待機時間Trigger Success Latency,SecondsSeconds,平均Average,成功したワークフロー トリガーの待機時間。Latency of succeeded workflow triggers.,ディメンションなしNo Dimensions,,,,,,,
TriggerThrottledEventsTriggerThrottledEvents,トリガー スロットル イベントTrigger Throttled Events,CountCount,合計Total,ワークフロー トリガー スロットル イベントの数。Number of workflow trigger throttled events.,ディメンションなしNo Dimensions,,,,,,,
IntegrationServiceEnvironmentWorkflowProcessorUsageIntegrationServiceEnvironmentWorkflowProcessorUsage,統合サービス環境のワークフロー プロセッサ使用率Workflow Processor Usage for Integration Service Environment,PercentPercent,平均Average,統合サービス環境のワークフロー プロセッサ使用率。Workflow processor usage for integration service environment.,ディメンションなしNo Dimensions,,,,,,,
IntegrationServiceEnvironmentWorkflowMemoryUsageIntegrationServiceEnvironmentWorkflowMemoryUsage,統合サービス環境のワークフロー メモリ使用率Workflow Memory Usage for Integration Service Environment,PercentPercent,平均Average,統合サービス環境のワークフロー メモリ使用率。Workflow memory usage for integration service environment.,ディメンションなしNo Dimensions,,,,,,,
IntegrationServiceEnvironmentConnectorProcessorUsageIntegrationServiceEnvironmentConnectorProcessorUsage,統合サービス環境のコネクタ プロセッサ使用率Connector Processor Usage for Integration Service Environment,PercentPercent,平均Average,統合サービス環境のコネクタ プロセッサ使用率。Connector processor usage for integration service environment.,ディメンションなしNo Dimensions,,,,,,,
IntegrationServiceEnvironmentConnectorMemoryUsageIntegrationServiceEnvironmentConnectorMemoryUsage,統合サービス環境のコネクタ メモリ使用率Connector Memory Usage for Integration Service Environment,PercentPercent,平均Average,統合サービス環境のコネクタ メモリ使用率。Connector memory usage for integration service environment.,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.MachineLearningServices/workspacesMicrosoft.MachineLearningServices/workspaces,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
完了した実行数Completed Runs,完了した実行数Completed Runs,CountCount,合計Total,このワークスペースに対して正常に完了した実行の数Number of runs completed successfully for this workspace,シナリオScenario,,,,,,,
開始した実行数Started Runs,開始した実行数Started Runs,CountCount,合計Total,このワークスペースに対して開始された実行数Number of runs started for this workspace,シナリオScenario,,,,,,,
失敗した実行Failed Runs,失敗した実行Failed Runs,CountCount,合計Total,このワークスペースに対して失敗した実行数Number of runs failed for this workspace,シナリオScenario,,,,,,,
,,,,,,,,,,,,
Microsoft.Maps/accountsMicrosoft.Maps/accounts,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
使用法Usage,使用法Usage,CountCount,CountCount,API 呼び出しの数Count of API calls,"ApiCategory、ApiName、ResultType、ResponseCodeApiCategory, ApiName, ResultType, ResponseCode",,,,,,,
可用性Availability,可用性Availability,PercentPercent,平均Average,API の可用性Availability of the APIs,"ApiCategory、ApiNameApiCategory, ApiName",,,,,,,
,,,,,,,,,,,,
Microsoft.NetApp/netAppAccounts/capacityPools/VolumesMicrosoft.NetApp/netAppAccounts/capacityPools/Volumes,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
AverageOtherLatencyAverageOtherLatency,他の平均待機時間Average other latency,ms/opms/op,平均Average,操作ごとのミリ秒単位の他の (つまり、読み取りや書き込みではない) 待機時間の平均Average other latency (that is not read or write) in milliseconds per operation,ディメンションなしNo Dimensions,,,,,,,
AverageReadLatencyAverageReadLatency,読み取りの平均待機時間Average read latency,ms/opms/op,平均Average,操作ごとの読み取りの平均待機時間 (ミリ秒単位)Average read latency in milliseconds per operation,ディメンションなしNo Dimensions,,,,,,,
AverageTotalLatencyAverageTotalLatency,待機時間の合計平均Average total latency,ms/opms/op,平均Average,操作ごとの待機時間の合計平均 (ミリ秒単位)Average total latency in milliseconds per operation,ディメンションなしNo Dimensions,,,,,,,
AverageWriteLatencyAverageWriteLatency,書き込みの平均待機時間Average write latency,ms/opms/op,平均Average,操作ごとの書き込みの平均待機時間 (ミリ秒単位)Average write latency in milliseconds per operation,ディメンションなしNo Dimensions,,,,,,,
FilesystemOtherOpsFilesystemOtherOps,ファイルシステムの他の操作Filesystem other ops,opsops,平均Average,ファイルシステムの他の操作 (つまり、読み取りや書き込みではない) の数Number of filesystem other operations (that is not read or write),ディメンションなしNo Dimensions,,,,,,,
FilesystemReadOpsFilesystemReadOps,ファイルシステムの読み取り操作Filesystem read ops,opsops,平均Average,ファイルシステムの読み取り操作の数Number of filesystem read operations,ディメンションなしNo Dimensions,,,,,,,
FilesystemTotalOpsFilesystemTotalOps,ファイルシステムの操作の合計Filesystem total ops,opsops,平均Average,すべてのファイルシステム操作の合計Sum of all filesystem operations,ディメンションなしNo Dimensions,,,,,,,
FilesystemWriteOpsFilesystemWriteOps,ファイルシステムの書き込み操作Filesystem write ops,opsops,平均Average,ファイルシステムの書き込み操作の数Number of filesystem write operations,ディメンションなしNo Dimensions,,,,,,,
IoBytesPerOtherOpsIoBytesPerOtherOps,他の操作あたりの IO バイトIo bytes per other ops,bytes/opbytes/op,平均Average,他の操作 (つまり、読み取りや書き込みではない) あたりの入出力バイトの数Number of In/out bytes per other operations (that is not read or write),ディメンションなしNo Dimensions,,,,,,,
IoBytesPerReadOpsIoBytesPerReadOps,読み取り操作あたりの IO バイトIo bytes per read ops,bytes/opbytes/op,平均Average,読み取り操作あたりの入出力バイトの数Number of In/out bytes per read operation,ディメンションなしNo Dimensions,,,,,,,
IoBytesPerTotalOpsIoBytesPerTotalOps,操作全体の操作あたりの IO バイトIo bytes per op across all operations,bytes/opbytes/op,平均Average,すべての入出力操作バイトの合計Sum of all In/out bytes operation,ディメンションなしNo Dimensions,,,,,,,
IoBytesPerWriteOpsIoBytesPerWriteOps,書き込み操作あたりの IO バイトIo bytes per write ops,bytes/opbytes/op,平均Average,書き込み操作あたりの入出力バイトの数Number of In/out bytes per write operation,ディメンションなしNo Dimensions,,,,,,,
OtherIopsOtherIops,その他の IOPSOther iops,operations/secondoperations/second,平均Average,1 秒あたりのその他の入出力操作Other In/out operation per second,ディメンションなしNo Dimensions,,,,,,,
OtherThroughputOtherThroughput,その他のスループットOther throughput,MBpsMBps,平均Average,1 秒あたりのメガバイト単位のその他のスループット (つまり、読み取りや書き込みではない)Other throughput (that is not read or write) in megabytes per second,ディメンションなしNo Dimensions,,,,,,,
ReadIopsReadIops,読み取り IOPSRead iops,operations/secondoperations/second,平均Average,1 秒あたりの読み取り入出力操作Read In/out operations per second,ディメンションなしNo Dimensions,,,,,,,
ReadThroughputReadThroughput,読み取りスループットRead throughput,MBpsMBps,平均Average,1 秒あたりの読み取りスループット (メガバイト単位)Read throughput in megabytes per second,ディメンションなしNo Dimensions,,,,,,,
TotalIopsTotalIops,合計 IOPSTotal iops,operations/secondoperations/second,平均Average,1 秒あたりのすべての入出力操作の合計Sum of all In/out operations per second,ディメンションなしNo Dimensions,,,,,,,
TotalThroughputTotalThroughput,スループットの合計Total throughput,MBpsMBps,平均Average,1 秒あたりのすべてのスループットの合計 (メガバイト単位)Sum of all throughput in megabytes per second,ディメンションなしNo Dimensions,,,,,,,
VolumeAllocatedSizeVolumeAllocatedSize,ボリュームの割り当てサイズVolume allocated size,バイトbytes,平均Average,ボリュームの割り当てサイズ (実際に使用されているバイトではない)Allocated size of the volume (Not the actual used bytes),ディメンションなしNo Dimensions,,,,,,,
VolumeLogicalSizeVolumeLogicalSize,ボリュームの論理サイズVolume logical size,バイトbytes,平均Average,ボリュームの論理サイズ (使用されているバイト)Logical size of the volume (used bytes),ディメンションなしNo Dimensions,,,,,,,
VolumeSnapshotSizeVolumeSnapshotSize,ボリューム スナップショットのサイズVolume snapshot size,バイトbytes,平均Average,ボリューム内のすべてのスナップショットのサイズSize of all snapshots in volume,ディメンションなしNo Dimensions,,,,,,,
WriteIopsWriteIops,書き込み IOPSWrite iops,operations/secondoperations/second,平均Average,1 秒あたりの書き込み入出力操作Write In/out operations per second,ディメンションなしNo Dimensions,,,,,,,
WriteThroughputWriteThroughput,書き込みスループットWrite throughput,MBpsMBps,平均Average,1 秒あたりの書き込みスループット (メガバイト単位)Write throughput in megabytes per second,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.NetApp/netAppAccounts/capacityPoolsMicrosoft.NetApp/netAppAccounts/capacityPools,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
VolumePoolAllocatedSizeVolumePoolAllocatedSize,ボリューム プールの割り当てサイズVolume pool allocated size,バイトbytes,平均Average,プールの割り当てサイズ (実際に使用されているバイトではない)Allocated size of the pool (Not the actual used bytes),ディメンションなしNo Dimensions,,,,,,,
VolumePoolAllocatedUsedVolumePoolAllocatedUsed,ボリューム プールの使用済みの割り当てVolume pool allocated used,バイトbytes,平均Average,プールの使用済みの割り当てサイズAllocated used size of the pool,ディメンションなしNo Dimensions,,,,,,,
VolumePoolTotalLogicalSizeVolumePoolTotalLogicalSize,ボリューム プールの論理サイズの合計Volume pool total logical size,バイトbytes,平均Average,プールに属するすべてのボリュームの論理サイズの合計Sum of the logical size of all the volumes belonging to the pool,ディメンションなしNo Dimensions,,,,,,,
VolumePoolTotalSnapshotSizeVolumePoolTotalSnapshotSize,ボリューム プールのスナップショット サイズの合計Volume pool total snapshot size,バイトbytes,平均Average,プール内のすべてのスナップショットの合計Sum of all snapshots in pool,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Network/networkInterfacesMicrosoft.Network/networkInterfaces,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
BytesSentRateBytesSentRate,送信バイト数Bytes Sent,CountCount,合計Total,ネットワーク インターフェイスが送信したバイト数Number of bytes the Network Interface sent,ディメンションなしNo Dimensions,,,,,,,
BytesReceivedRateBytesReceivedRate,受信バイト数Bytes Received,CountCount,合計Total,ネットワーク インターフェイスが受信したバイト数Number of bytes the Network Interface received,ディメンションなしNo Dimensions,,,,,,,
PacketsSentRatePacketsSentRate,送信されたパケット数Packets Sent,CountCount,合計Total,ネットワーク インターフェイスが送信したパケット数Number of packets the Network Interface sent,ディメンションなしNo Dimensions,,,,,,,
PacketsReceivedRatePacketsReceivedRate,受信したパケット数Packets Received,CountCount,合計Total,ネットワーク インターフェイスが受信したパケット数Number of packets the Network Interface received,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Network/loadBalancersMicrosoft.Network/loadBalancers,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
VipAvailabilityVipAvailability,データ パスの可用性Data Path Availability,CountCount,平均Average,期間あたりの Load Balancer データ パスの可用性平均Average Load Balancer data path availability per time duration,"FrontendIPAddress、FrontendPortFrontendIPAddress, FrontendPort",,,,,,,
DipAvailabilityDipAvailability,正常性プローブの状態Health Probe Status,CountCount,平均Average,期間あたりの Load Balancer 正常性プローブの状態平均Average Load Balancer health probe status per time duration,"ProtocolType、BackendPort、FrontendIPAddress、FrontendPort、BackendIPAddressProtocolType, BackendPort, FrontendIPAddress, FrontendPort, BackendIPAddress",,,,,,,
ByteCountByteCount,Byte Count (バイト数)Byte Count,CountCount,合計Total,期間内に送信された合計バイト数Total number of Bytes transmitted within time period,"FrontendIPAddress、FrontendPort、DirectionFrontendIPAddress, FrontendPort, Direction",,,,,,,
PacketCountPacketCount,Packet Count (パケット数)Packet Count,CountCount,合計Total,期間内に送信された合計パケット数Total number of Packets transmitted within time period,"FrontendIPAddress、FrontendPort、DirectionFrontendIPAddress, FrontendPort, Direction",,,,,,,
SYNCountSYNCount,SYN Count (SYN 数)SYN Count,CountCount,合計Total,期間内に送信された合計 SYN パケット数Total number of SYN Packets transmitted within time period,"FrontendIPAddress、FrontendPort、DirectionFrontendIPAddress, FrontendPort, Direction",,,,,,,
SnatConnectionCountSnatConnectionCount,SNAT Connection Count (SNAT 接続数)SNAT Connection Count,CountCount,合計Total,期間内に作成された新しい SNAT 接続の合計数Total number of new SNAT connections created within time period,"FrontendIPAddress、BackendIPAddress、ConnectionStateFrontendIPAddress, BackendIPAddress, ConnectionState",,,,,,,
AllocatedSnatPortsAllocatedSnatPorts,割り当てられた SNAT ポート (プレビュー)Allocated SNAT Ports (Preview),CountCount,合計Total,期間内に割り当てられた SNAT ポートの合計数Total number of SNAT ports allocated within time period,"FrontendIPAddress、BackendIPAddress、ProtocolTypeFrontendIPAddress, BackendIPAddress, ProtocolType",,,,,,,
UsedSnatPortsUsedSnatPorts,使用された SNAT ポート (プレビュー)Used SNAT Ports (Preview),CountCount,合計Total,期間内に使用された SNAT ポートの合計数Total number of SNAT ports used within time period,"FrontendIPAddress、BackendIPAddress、ProtocolTypeFrontendIPAddress, BackendIPAddress, ProtocolType",,,,,,,
,,,,,,,,,,,,
Microsoft.Network/dnszonesMicrosoft.Network/dnszones,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
QueryVolumeQueryVolume,クエリ数Query Volume,CountCount,合計Total,DNS ゾーンで処理されたクエリの数Number of queries served for a DNS zone,ディメンションなしNo Dimensions,,,,,,,
RecordSetCountRecordSetCount,レコード セット数Record Set Count,CountCount,最大値Maximum,DNS ゾーンのレコード セットの数Number of Record Sets in a DNS zone,ディメンションなしNo Dimensions,,,,,,,
RecordSetCapacityUtilizationRecordSetCapacityUtilization,レコード セットの容量使用率Record Set Capacity Utilization,PercentPercent,最大値Maximum,DNS ゾーンで使用されるレコード セットの容量の割合Percent of Record Set capacity utilized by a DNS zone,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Network/publicIPAddressesMicrosoft.Network/publicIPAddresses,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
PacketsInDDoSPacketsInDDoS,DDoS 受信パケット数Inbound packets DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信パケット数Inbound packets DDoS,ディメンションなしNo Dimensions,,,,,,,
PacketsDroppedDDoSPacketsDroppedDDoS,DDoS 受信パケット破棄数Inbound packets dropped DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信パケット破棄数Inbound packets dropped DDoS,ディメンションなしNo Dimensions,,,,,,,
PacketsForwardedDDoSPacketsForwardedDDoS,DDoS 受信パケット転送数Inbound packets forwarded DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信パケット転送数Inbound packets forwarded DDoS,ディメンションなしNo Dimensions,,,,,,,
TCPPacketsInDDoSTCPPacketsInDDoS,DDoS 受信 TCP パケット数Inbound TCP packets DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信 TCP パケット数Inbound TCP packets DDoS,ディメンションなしNo Dimensions,,,,,,,
TCPPacketsDroppedDDoSTCPPacketsDroppedDDoS,DDoS 受信 TCP パケット破棄数Inbound TCP packets dropped DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信 TCP パケット破棄数Inbound TCP packets dropped DDoS,ディメンションなしNo Dimensions,,,,,,,
TCPPacketsForwardedDDoSTCPPacketsForwardedDDoS,DDoS 受信 TCP パケット転送数Inbound TCP packets forwarded DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信 TCP パケット転送数Inbound TCP packets forwarded DDoS,ディメンションなしNo Dimensions,,,,,,,
UDPPacketsInDDoSUDPPacketsInDDoS,DDoS 受信 UDP パケット数Inbound UDP packets DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信 UDP パケット数Inbound UDP packets DDoS,ディメンションなしNo Dimensions,,,,,,,
UDPPacketsDroppedDDoSUDPPacketsDroppedDDoS,DDoS 受信 UDP パケット破棄数Inbound UDP packets dropped DDoS,CountPerSecondCountPerSecond,最大値Maximum,DDoS 受信 UDP パケット破棄数Inbound UDP packets dropped DDoS,ディメンションなしNo Dimensions,,,,,,,
UDPPacketsForwardedDDoSUDPPacketsForwardedDDoS,Inbound UDP packets forwarded DDoS (DDoS 受信 UDP パケット転送数)Inbound UDP packets forwarded DDoS,CountPerSecondCountPerSecond,最大値Maximum,Inbound UDP packets forwarded DDoS (DDoS 受信 UDP パケット転送数)Inbound UDP packets forwarded DDoS,ディメンションなしNo Dimensions,,,,,,,
BytesInDDoSBytesInDDoS,DDoS 受信バイト数Inbound bytes DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信バイト数Inbound bytes DDoS,ディメンションなしNo Dimensions,,,,,,,
BytesDroppedDDoSBytesDroppedDDoS,DDoS 受信バイト破棄数Inbound bytes dropped DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信バイト破棄数Inbound bytes dropped DDoS,ディメンションなしNo Dimensions,,,,,,,
BytesForwardedDDoSBytesForwardedDDoS,DDoS 受信バイト転送数Inbound bytes forwarded DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信バイト転送数Inbound bytes forwarded DDoS,ディメンションなしNo Dimensions,,,,,,,
TCPBytesInDDoSTCPBytesInDDoS,DDoS 受信 TCP バイト数Inbound TCP bytes DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信 TCP バイト数Inbound TCP bytes DDoS,ディメンションなしNo Dimensions,,,,,,,
TCPBytesDroppedDDoSTCPBytesDroppedDDoS,DDoS 受信 TCP バイト破棄数Inbound TCP bytes dropped DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信 TCP バイト破棄数Inbound TCP bytes dropped DDoS,ディメンションなしNo Dimensions,,,,,,,
TCPBytesForwardedDDoSTCPBytesForwardedDDoS,DDoS 受信 TCP バイト転送数Inbound TCP bytes forwarded DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信 TCP バイト転送数Inbound TCP bytes forwarded DDoS,ディメンションなしNo Dimensions,,,,,,,
UDPBytesInDDoSUDPBytesInDDoS,DDoS 受信 UDP バイト数Inbound UDP bytes DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信 UDP バイト数Inbound UDP bytes DDoS,ディメンションなしNo Dimensions,,,,,,,
UDPBytesDroppedDDoSUDPBytesDroppedDDoS,DDoS 受信 UDP バイト破棄数Inbound UDP bytes dropped DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信 UDP バイト破棄数Inbound UDP bytes dropped DDoS,ディメンションなしNo Dimensions,,,,,,,
UDPBytesForwardedDDoSUDPBytesForwardedDDoS,DDoS 受信 UDP バイト転送数Inbound UDP bytes forwarded DDoS,BytesPerSecondBytesPerSecond,最大値Maximum,DDoS 受信 UDP バイト転送数Inbound UDP bytes forwarded DDoS,ディメンションなしNo Dimensions,,,,,,,
